Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"GEK22 (May '22)",98.415,-0.06,98.4475,98.49,98.395,98.475,17764,126538,2022-04-22
"GEM22 (Jun '22)",98.075,-0.1,98.2,98.205,98.05,98.175,222939,1009537,2022-04-22
"GEN22 (Jul '22)",97.8,-0.11,97.885,97.93,97.775,97.91,5408,64387,2022-04-22
"GEQ22 (Aug '22)",97.565,-0.11,97.655,97.655,97.555,97.675,1897,8841,2022-04-22
"GEU22 (Sep '22)",97.255,-0.125,97.405,97.41,97.24,97.38,216541,1020134,2022-04-22
"GEV22 (Oct '22)",97.09,-0.10499999999999,0,97.09,97.09,97.195,N/A,N/A,2022-04-22
"GEZ22 (Dec '22)",96.775,-0.09,96.87,96.87,96.74,96.865,311857,1387260,2022-04-22
"GEH23 (Mar '23)",96.525,-0.03,96.555,96.59,96.45,96.555,209105,931545,2022-04-22
"GEM23 (Jun '23)",96.36,0.005,96.355,96.425,96.265,96.355,238857,963103,2022-04-22
"GEU23 (Sep '23)",96.43,0.025,96.405,96.485,96.32,96.405,154445,852684,2022-04-22
"GEZ23 (Dec '23)",96.545,0.035,96.505,96.59,96.425,96.51,184939,1256136,2022-04-22
"GEH24 (Mar '24)",96.665,0.035,96.625,96.705,96.535,96.63,113779,420636,2022-04-22
"GEM24 (Jun '24)",96.74,0.045,96.69,96.775,96.605,96.695,120101,453387,2022-04-22
"GEU24 (Sep '24)",96.795,0.06,96.725,96.82,96.65,96.735,90684,458235,2022-04-22
"GEZ24 (Dec '24)",96.84,0.07,96.76,96.885,96.685,96.77,190002,769863,2022-04-22
"GEH25 (Mar '25)",96.9,0.075,96.815,96.92,96.745,96.825,74833,245984,2022-04-22
"GEM25 (Jun '25)",96.955,0.08,96.87,96.97,96.805,96.875,80835,162949,2022-04-22
"GEU25 (Sep '25)",97.005,0.085,96.92,97.02,96.855,96.92,43645,123144,2022-04-22
"GEZ25 (Dec '25)",97.03,0.09,96.935,97.045,96.885,96.94,58811,128502,2022-04-22
"GEH26 (Mar '26)",97.045,0.09,96.95,97.055,96.9,96.955,30123,75434,2022-04-22
"GEM26 (Jun '26)",97.035,0.085,96.945,97.05,96.9,96.95,27158,69175,2022-04-22
"GEU26 (Sep '26)",97.015,0.08,96.94,97.035,96.89,96.935,23981,74905,2022-04-22
"GEZ26 (Dec '26)",96.985,0.065,96.92,97.015,96.87,96.92,26289,53620,2022-04-22
"GEH27 (Mar '27)",96.965,0.06,96.9,96.995,96.855,96.905,36537,27747,2022-04-22
"GEM27 (Jun '27)",96.945,0.06,96.855,96.98,96.845,96.885,1721,8741,2022-04-22
"GEU27 (Sep '27)",96.925,0.05,96.84,96.96,96.83,96.875,846,3495,2022-04-22
"GEZ27 (Dec '27)",96.9,0.045,96.825,96.925,96.805,96.855,496,4802,2022-04-22
"GEH28 (Mar '28)",96.88,0.04,96.795,96.915,96.785,96.84,1118,4256,2022-04-22
"GEM28 (Jun '28)",96.85,0.04,96.87,96.87,96.835,96.81,104,935,2022-04-22
"GEU28 (Sep '28)",96.825,0.035,96.79,96.825,96.79,96.79,19,358,2022-04-22
"GEZ28 (Dec '28)",96.79,0.035,96.735,96.79,96.735,96.755,13,275,2022-04-22
"GEH29 (Mar '29)",96.77,0.034999999999997,0,96.77,96.77,96.735,5,213,2022-04-22
"GEM29 (Jun '29)",96.745,0.035000000000011,0,96.745,96.745,96.71,N/A,22,2022-04-22
"GEU29 (Sep '29)",96.73,0.035000000000011,0,96.73,96.73,96.695,N/A,8,2022-04-22
"GEZ29 (Dec '29)",96.705,0.034999999999997,0,96.705,96.705,96.67,N/A,20,2022-04-22
"GEH30 (Mar '30)",96.695,0.034999999999997,0,96.695,96.695,96.66,N/A,13,2022-04-22
"GEM30 (Jun '30)",96.675,0.034999999999997,0,96.675,96.675,96.64,N/A,N/A,2022-04-22
"GEU30 (Sep '30)",96.665,0.035000000000011,0,96.665,96.665,96.63,N/A,1,2022-04-22
"GEZ30 (Dec '30)",96.64,0.034999999999997,0,96.64,96.64,96.605,N/A,10,2022-04-22
"GEH31 (Mar '31)",96.635,0.035000000000011,0,96.635,96.635,96.6,N/A,N/A,2022-04-22
"GEM31 (Jun '31)",96.64,0.034999999999997,0,96.64,96.64,96.605,N/A,N/A,2022-04-22
"GEU31 (Sep '31)",96.635,0.035000000000011,0,96.635,96.635,96.6,N/A,N/A,2022-04-22
"GEZ31 (Dec '31)",96.635,0.035000000000011,0,96.635,96.635,96.6,N/A,N/A,2022-04-22
"GEH32 (Mar '32)",96.635,0.035,0,96.635,96.635,96.6,0,0,2022-04-22
"Downloaded from Barchart.com as of 04-23-2022 07:38am CDT"
