Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"GEH22 (Mar '22)",99.19,-0.09,99.2575,99.27,99.15,99.28,322544,919986,2022-03-04
"GEJ22 (Apr '22)",99,-0.095,99.055,99.095,98.975,99.095,30529,119261,2022-03-04
"GEK22 (May '22)",98.875,-0.065,98.905,98.97,98.86,98.94,13306,60847,2022-03-04
"GEM22 (Jun '22)",98.765,-0.03,98.78,98.86,98.75,98.795,340064,1092686,2022-03-04
"GEN22 (Jul '22)",98.675,-0.01,98.725,98.74,98.655,98.685,713,24698,2022-03-04
"GEQ22 (Aug '22)",98.585,-0.010000000000005,0,98.585,98.585,98.595,N/A,403,2022-03-04
"GEU22 (Sep '22)",98.47,0.01,98.45,98.565,98.43,98.46,255802,823562,2022-03-04
"GEZ22 (Dec '22)",98.17,0.03,98.135,98.27,98.11,98.14,439683,1210465,2022-03-04
"GEH23 (Mar '23)",98.015,0.035,97.98,98.125,97.955,97.98,280288,880929,2022-03-04
"GEM23 (Jun '23)",97.89,0.055,97.825,97.985,97.81,97.835,320509,919017,2022-03-04
"GEU23 (Sep '23)",97.915,0.105,97.8,97.965,97.79,97.81,185873,756189,2022-03-04
"GEZ23 (Dec '23)",97.96,0.13,97.825,97.995,97.805,97.83,347271,1315257,2022-03-04
"GEH24 (Mar '24)",98.075,0.15,97.925,98.1,97.905,97.925,146317,524537,2022-03-04
"GEM24 (Jun '24)",98.155,0.155,98,98.185,97.985,98,107550,444392,2022-03-04
"GEU24 (Sep '24)",98.18,0.145,98.025,98.215,98.015,98.035,102131,389683,2022-03-04
"GEZ24 (Dec '24)",98.175,0.135,98.03,98.21,98.02,98.04,147286,624238,2022-03-04
"GEH25 (Mar '25)",98.215,0.145,98.07,98.25,98.055,98.07,81332,281513,2022-03-04
"GEM25 (Jun '25)",98.23,0.145,98.07,98.26,98.065,98.085,57973,157432,2022-03-04
"GEU25 (Sep '25)",98.23,0.145,98.075,98.26,98.07,98.085,44862,125938,2022-03-04
"GEZ25 (Dec '25)",98.215,0.145,98.07,98.245,98.055,98.07,65522,146876,2022-03-04
"GEH26 (Mar '26)",98.21,0.15,98.06,98.24,98.05,98.06,26256,74756,2022-03-04
"GEM26 (Jun '26)",98.195,0.155,98.03,98.22,98.03,98.04,25248,75882,2022-03-04
"GEU26 (Sep '26)",98.175,0.155,98.02,98.2,98.01,98.02,25838,72399,2022-03-04
"GEZ26 (Dec '26)",98.155,0.155,97.995,98.175,97.985,98,31737,55559,2022-03-04
"GEH27 (Mar '27)",98.135,0.15,97.975,98.155,97.97,97.985,3260,11759,2022-03-04
"GEM27 (Jun '27)",98.12,0.15,97.96,98.125,97.96,97.97,889,6326,2022-03-04
"GEU27 (Sep '27)",98.105,0.14,98.055,98.115,97.95,97.965,796,2402,2022-03-04
"GEZ27 (Dec '27)",98.09,0.14,98.01,98.095,97.925,97.95,2779,2150,2022-03-04
"GEH28 (Mar '28)",98.085,0.13499999999999,0,98.085,98.085,97.95,234,1068,2022-03-04
"GEM28 (Jun '28)",98.075,0.135,97.985,98.075,97.985,97.94,15,752,2022-03-04
"GEU28 (Sep '28)",98.07,0.13499999999999,0,97.965,98.07,97.935,17,271,2022-03-04
"GEZ28 (Dec '28)",98.065,0.13499999999999,0,97.96,98.065,97.93,N/A,181,2022-03-04
"GEH29 (Mar '29)",98.07,0.13499999999999,0,98.07,98.07,97.935,N/A,30,2022-03-04
"GEM29 (Jun '29)",98.07,0.13499999999999,0,98.07,98.07,97.935,N/A,3,2022-03-04
"GEU29 (Sep '29)",98.07,0.13499999999999,0,98.07,98.07,97.935,N/A,8,2022-03-04
"GEZ29 (Dec '29)",98.07,0.13499999999999,0,98.07,98.07,97.935,N/A,12,2022-03-04
"GEH30 (Mar '30)",98.08,0.13500000000001,0,98.08,98.08,97.945,N/A,N/A,2022-03-04
"GEM30 (Jun '30)",98.09,0.13500000000001,0,98.09,98.09,97.955,N/A,N/A,2022-03-04
"GEU30 (Sep '30)",98.1,0.13499999999999,0,98.1,98.1,97.965,N/A,N/A,2022-03-04
"GEZ30 (Dec '30)",98.085,0.13499999999999,0,98.085,98.085,97.95,N/A,9,2022-03-04
"GEH31 (Mar '31)",98.1,0.13499999999999,0,98.1,98.1,97.965,N/A,N/A,2022-03-04
"GEM31 (Jun '31)",98.11,0.13500000000001,0,98.11,98.11,97.975,N/A,N/A,2022-03-04
"GEU31 (Sep '31)",98.105,0.13500000000001,0,98.105,98.105,97.97,N/A,N/A,2022-03-04
"GEZ31 (Dec '31)",98.105,0.13500000000001,0,98.105,98.105,97.97,N/A,N/A,2022-03-04
"Downloaded from Barchart.com as of 03-06-2022 06:19am CST"
