Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"GEH22 (Mar '22)",99.1775,0.0099999999999909,99.17,99.2,99.1625,99.1675,82007,887249,"08:05 CT"
"GEJ22 (Apr '22)",98.915,0,98.91,98.925,98.895,98.915,15631,132635,"08:06 CT"
"GEK22 (May '22)",98.77,-0.0050000000000097,98.785,98.785,98.76,98.775,1996,72915,"08:05 CT"
"GEM22 (Jun '22)",98.645,-0.010000000000005,98.68,98.68,98.635,98.655,75778,987438,"08:06 CT"
"GEN22 (Jul '22)",98.555,-0.0099999999999909,98.555,98.555,98.555,98.565,436,24855,"06:50 CT"
"GEQ22 (Aug '22)",98.475,-0.06,0,98.475,98.475,98.535,0,403,2022-03-08
"GEU22 (Sep '22)",98.33,-0.015000000000001,98.38,98.385,98.315,98.345,66110,856688,"08:06 CT"
"GEZ22 (Dec '22)",98.02,-0.025000000000006,98.08,98.09,98,98.045,94011,1230183,"08:07 CT"
"GEH23 (Mar '23)",97.835,-0.040000000000006,97.92,97.93,97.815,97.875,85242,879514,"08:07 CT"
"GEM23 (Jun '23)",97.69,-0.034999999999997,97.78,97.78,97.665,97.725,69584,929991,"08:07 CT"
"GEU23 (Sep '23)",97.68,-0.054999999999993,97.775,97.78,97.67,97.735,46785,749187,"08:06 CT"
"GEZ23 (Dec '23)",97.72,-0.055000000000007,97.815,97.825,97.71,97.775,56898,1352387,"08:06 CT"
"GEH24 (Mar '24)",97.83,-0.049999999999997,97.915,97.93,97.82,97.88,42590,522073,"08:07 CT"
"GEM24 (Jun '24)",97.91,-0.049999999999997,98,98.01,97.905,97.96,28441,443852,"08:06 CT"
"GEU24 (Sep '24)",97.95,-0.045000000000002,98.02,98.045,97.94,97.995,20683,395106,"08:05 CT"
"GEZ24 (Dec '24)",97.95,-0.045000000000002,98.025,98.045,97.945,97.995,24989,634187,"08:06 CT"
"GEH25 (Mar '25)",97.995,-0.045000000000002,98.07,98.085,97.985,98.04,17325,285153,"08:05 CT"
"GEM25 (Jun '25)",98.015,-0.045000000000002,98.085,98.105,98.005,98.06,11062,152724,"08:05 CT"
"GEU25 (Sep '25)",98.02,-0.045000000000002,98.1,98.11,98.01,98.065,7906,126261,"08:04 CT"
"GEZ25 (Dec '25)",98.01,-0.049999999999997,98.07,98.1,98,98.06,12754,148672,"08:07 CT"
"GEH26 (Mar '26)",98.015,-0.049999999999997,98.1,98.1,98.005,98.065,4723,75279,"08:05 CT"
"GEM26 (Jun '26)",98,-0.055000000000007,98.06,98.09,97.995,98.055,6887,71496,"08:05 CT"
"GEU26 (Sep '26)",97.99,-0.050000000000011,98.075,98.085,97.98,98.04,6093,69059,"08:07 CT"
"GEZ26 (Dec '26)",97.975,-0.050000000000011,98.065,98.065,97.97,98.025,7916,55175,"08:06 CT"
"GEH27 (Mar '27)",97.97,-0.045000000000002,98.045,98.065,97.965,98.015,1191,11835,"08:01 CT"
"GEM27 (Jun '27)",97.965,-0.039999999999992,98.025,98.025,97.965,98.005,382,5953,"08:04 CT"
"GEU27 (Sep '27)",97.96,-0.040000000000006,98.03,98.03,97.955,98,348,2456,"08:07 CT"
"GEZ27 (Dec '27)",97.945,-0.050000000000011,98.005,98.01,97.945,97.995,590,3235,"07:47 CT"
"GEH28 (Mar '28)",97.99,-0.115,0,97.99,97.99,98.105,342,1068,2022-03-08
"GEM28 (Jun '28)",97.985,-0.115,0,97.985,97.985,98.1,30,743,2022-03-08
"GEU28 (Sep '28)",97.98,-0.115,97.995,97.995,97.98,98.095,30,271,2022-03-08
"GEZ28 (Dec '28)",97.975,-0.115,0,97.975,97.975,98.09,0,181,2022-03-08
"GEH29 (Mar '29)",97.98,-0.115,0,97.98,97.98,98.095,0,30,2022-03-08
"GEM29 (Jun '29)",97.98,-0.115,0,97.98,97.98,98.095,0,3,2022-03-08
"GEU29 (Sep '29)",97.98,-0.115,0,97.98,97.98,98.095,0,8,2022-03-08
"GEZ29 (Dec '29)",97.98,-0.115,0,97.98,97.98,98.095,0,12,2022-03-08
"GEH30 (Mar '30)",97.99,-0.115,0,97.99,97.99,98.105,0,0,2022-03-08
"GEM30 (Jun '30)",98,-0.115,0,98,98,98.115,0,0,2022-03-08
"GEU30 (Sep '30)",98.01,-0.115,0,98.01,98.01,98.125,0,0,2022-03-08
"GEZ30 (Dec '30)",97.995,-0.115,0,97.995,97.995,98.11,0,9,2022-03-08
"GEH31 (Mar '31)",98.01,-0.115,0,98.01,98.01,98.125,0,0,2022-03-08
"GEM31 (Jun '31)",98.02,-0.11500000000001,0,98.02,98.02,98.135,N/A,N/A,2022-03-08
"GEU31 (Sep '31)",98.015,-0.11499999999999,0,98.015,98.015,98.13,N/A,N/A,2022-03-08
"GEZ31 (Dec '31)",98.015,-0.11499999999999,0,98.015,98.015,98.13,N/A,N/A,2022-03-08
"Downloaded from Barchart.com as of 03-09-2022 08:17am CST"
