Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"GEM22 (Jun '22)",98.215,0.0050000000000097,98.205,98.225,98.1975,98.21,82511,1060717,"10:45 CT"
"GEN22 (Jul '22)",97.95,0.0050000000000097,97.94,97.965,97.94,97.945,3505,100000,"10:43 CT"
"GEQ22 (Aug '22)",97.75,0.01,97.74,97.77,97.74,97.74,1199,33266,"10:24 CT"
"GEU22 (Sep '22)",97.48,0.015000000000001,97.46,97.505,97.455,97.465,83628,976333,"10:48 CT"
"GEV22 (Oct '22)",97.35,0.034999999999997,97.34,97.35,97.34,97.315,2,13640,"08:43 CT"
"GEX22 (Nov '22)",97.17,0.105,0,97.17,97.17,97.065,N/A,N/A,2022-05-24
"GEZ22 (Dec '22)",96.985,0.0049999999999955,96.965,97.02,96.96,96.98,137570,1396033,"10:47 CT"
"GEH23 (Mar '23)",96.86,0.019999999999996,96.83,96.895,96.815,96.84,69261,939295,"10:48 CT"
"GEM23 (Jun '23)",96.86,0.030000000000001,96.825,96.9,96.81,96.83,117054,879795,"10:48 CT"
"GEU23 (Sep '23)",96.96,0.015000000000001,96.94,97.005,96.92,96.945,55330,845395,"10:48 CT"
"GEZ23 (Dec '23)",97.05,0.019999999999996,97.03,97.09,97.005,97.03,80893,1170332,"10:49 CT"
"GEH24 (Mar '24)",97.125,0.019999999999996,97.1,97.16,97.075,97.105,72049,426304,"10:48 CT"
"GEM24 (Jun '24)",97.18,0.025000000000006,97.15,97.21,97.125,97.155,50666,435193,"10:48 CT"
"GEU24 (Sep '24)",97.21,0.034999999999997,97.17,97.235,97.15,97.175,26218,445401,"10:48 CT"
"GEZ24 (Dec '24)",97.225,0.039999999999992,97.185,97.245,97.165,97.185,38491,725396,"10:47 CT"
"GEH25 (Mar '25)",97.245,0.040000000000006,97.205,97.265,97.19,97.205,19434,244560,"10:48 CT"
"GEM25 (Jun '25)",97.26,0.040000000000006,97.22,97.28,97.205,97.22,24551,160343,"10:48 CT"
"GEU25 (Sep '25)",97.265,0.040000000000006,97.235,97.285,97.215,97.225,14299,113791,"10:48 CT"
"GEZ25 (Dec '25)",97.255,0.039999999999992,97.215,97.275,97.205,97.215,16207,139172,"10:45 CT"
"GEH26 (Mar '26)",97.235,0.034999999999997,97.21,97.26,97.19,97.2,14587,78172,"10:47 CT"
"GEM26 (Jun '26)",97.21,0.034999999999997,97.18,97.235,97.17,97.175,13916,71478,"10:47 CT"
"GEU26 (Sep '26)",97.18,0.025000000000006,97.155,97.215,97.15,97.155,17678,75497,"10:48 CT"
"GEZ26 (Dec '26)",97.14,0.019999999999996,97.12,97.175,97.105,97.12,14880,52065,"10:48 CT"
"GEH27 (Mar '27)",97.095,0.010000000000005,97.09,97.135,97.065,97.085,17737,36453,"10:48 CT"
"GEM27 (Jun '27)",97.055,0.0050000000000097,97.04,97.095,97.025,97.05,2182,9809,"10:48 CT"
"GEU27 (Sep '27)",97.035,0.015000000000001,97.01,97.05,96.99,97.02,539,3283,"10:36 CT"
"GEZ27 (Dec '27)",96.955,-0.025000000000006,96.98,97.01,96.955,96.98,296,4631,"08:51 CT"
"GEH28 (Mar '28)",96.905,-0.039999999999992,96.945,96.985,96.905,96.945,501,3497,"09:35 CT"
"GEM28 (Jun '28)",96.905,0.03,0,96.905,96.905,96.875,30,796,2022-05-24
"GEU28 (Sep '28)",96.87,0.02,0,96.87,96.87,96.85,15,326,2022-05-24
"GEZ28 (Dec '28)",96.83,0.02,0,96.83,96.83,96.81,0,291,2022-05-24
"GEH29 (Mar '29)",96.795,0.02,0,96.795,96.795,96.775,5,213,2022-05-24
"GEM29 (Jun '29)",96.76,0.02000000000001,0,96.76,96.76,96.74,N/A,22,2022-05-24
"GEU29 (Sep '29)",96.735,0.015000000000001,0,96.735,96.735,96.72,N/A,8,2022-05-24
"GEZ29 (Dec '29)",96.7,0.0050000000000097,0,96.7,96.7,96.695,N/A,29,2022-05-24
"GEH30 (Mar '30)",96.68,0.0050000000000097,0,96.68,96.68,96.675,N/A,13,2022-05-24
"GEM30 (Jun '30)",96.64,0.0049999999999955,0,96.64,96.64,96.635,N/A,1,2022-05-24
"GEU30 (Sep '30)",96.6,0.0049999999999955,0,96.6,96.6,96.595,N/A,1,2022-05-24
"GEZ30 (Dec '30)",96.585,0.005,0,96.585,96.585,96.58,0,10,2022-05-24
"GEH31 (Mar '31)",96.58,0.0049999999999955,0,96.58,96.58,96.575,N/A,N/A,2022-05-24
"GEM31 (Jun '31)",96.56,0.0049999999999955,0,96.56,96.56,96.555,N/A,N/A,2022-05-24
"GEU31 (Sep '31)",96.555,0.0050000000000097,0,96.555,96.555,96.55,N/A,N/A,2022-05-24
"GEZ31 (Dec '31)",96.555,0.0050000000000097,0,96.555,96.555,96.55,N/A,N/A,2022-05-24
"GEH32 (Mar '32)",96.555,0.005,0,96.555,96.555,96.55,0,0,2022-05-24
"Downloaded from Barchart.com as of 05-25-2022 10:59am CDT"
